432, 2156.8408, -20.9922, 11.0065, 164.2823
470, 2146.6084, -51.2442, 5.5386, 294.8769
468, 2164.6145, -100.4533, 2.3728, 31.8684
433, 1865.7493, -101.4159, 35.2769, 256.9298
425, 1909.2509, -498.7286, 18.6179, 357.7709
432, 2037.1362, -346.0804, 42.7139, 314.2150
522, 1870.7076, -198.2404, 19.5295, 4.6062
470, 1891.1050, -121.2380, 18.3864, 354.9325
425, 1909.2509, -498.7286, 18.6179, 357.7709
432, 2037.1362, -346.0804, 42.7139, 314.2150
522, 1870.7076, -198.2404, 19.5295, 4.6062
470, 1891.1050, -121.2380, 18.3864, 354.9325
595, 2107.9407, -106.7431, 0.6238, 123.8754
595, 1940.8309, -257.8256, 1.1463, 347.6802
595, 2036.0592, -244.7346, 1.1463, 347.6802
595, 2104.4509, -97.4322, 0.5652, 121.4202
595, 1961.7981, -38.3451, 0.2746, 232.8408
595, 2019.5179, -63.5244, 0.1859, 115.4807
