-1679.535400 -1711.759644 5.250111, -2.0
-1802.110107 -1528.064087 0.504309, -2.0
-1851.677368 -1477.328613 2.203481, -2.0
-1861.830811 -1493.251099 3.849103, -2.0
-1878.916748 -1496.793335 5.324704, -2.0
-1942.991089 -1453.064453 16.322006, 2.0
-2058.191895 -1340.532471 46.195541, 33.0
-2178.760986 -1255.735718 76.343964, 75.0
-2220.036377 -1257.423462 174.601089, 166.0
-2123.847412 -1424.964600 198.244614, 190.0
-2096.593262 -1543.207764 204.001480, 130.0
-2052.365967 -1572.708740 138.593994, 80.0
-1997.763672 -1490.011841 83.578331, 80.0
-1938.213379 -1602.150269 87.457314, 44.0
-1939.119629 -1544.602417 46.413704, 0.0
-1900.002930 -1490.197021 18.173363, -2.0
-1869.338501 -1512.136353 5.317358, -2.0
-1860.369629 -1494.546509 4.006777, -2.0
-1857.371582 -1474.531128 3.609772, -2.0
-1803.295410 -1527.666260 0.525324, -2.0
