[HLF]Southclaw,		buf,	402, 2279.204833, 1517.500000, 43.000000, 0.000000, 6, 0, South
[HLF]Onfire559,		kitt,	411, 2282.343261, 1517.500000, 43.000000, 0.000000, 0, 0, Onfire
[HLF]Myst,		tur,	451, 2285.930175, 1517.500000, 43.000000, 0.000000, 149, 149, Myst
[HLF]Defiance,		frw,	463, 2289.169433, 1517.500000, 43.000000, 0.000000, 3, 3, Defiance
[HLF]Pandaemonium,	nrg,	522, 2295.658447, 1517.500000, 43.000000, 0.000000, 0, 0, James
[HLF]Southclaw,		sul,	560, 2298.976562, 1517.500000, 43.000000, 0.000000, 1, 1, South
[HLF]Pennywise,		ice,	423, 2302.456298, 1517.500000, 43.000000, 0.000000, 6, 0, Cagatay
[HLF]DuskReaper,	bul,	541, 2305.754882, 1517.500000, 43.000000, 0.000000, 0, 3, Billy
LittleHelper[MDZ],	eur,	587, 2309.098632, 1517.500000, 43.000000, 0.000000, 3, 3, MDZ
Fusez,			win,	555, 2312.430175, 1517.500000, 43.000000, 0.000000, 150, 150, Fusez
[HLF]Kevin,		kev,	451, 2303.148667, 1497.854257, 43.000000, 90.00000, 0, 1, Kevmobil
[HLF]Delight.,		del,	560, 2344.496567, 1504.166547, 43.000000, 180.0000, 161, 161, Haywoodz
Danny,			dan,	411, 2315.766356, 1517.500000, 43.000000, 0.000000, 161, 161, D4NNY
Monster,		joe,	451, 2292.343275, 1517.500000, 43.000000, 0.000000, 173, 0, M0NST3R
TommyGun,		tommy,	560, 2303.148667, 1494.854257, 43.000000, 90.00000, 3, 1, T0M1337
Jernu,			jernu,	522, 2302.797157, 1490.779748, 42.389746, 90.00000, 6, 8, Jernu1337
